epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5365,1.12896,2.58031,1.50714,0.00551,0.91489,0.36077,0.23711,1.0686,2.96012,1.45996,0.00038,0.00038,0.00038
2,46.9433,1.26017,2.09883,1.58511,0.3801,0.06383,0.20201,0.08773,1.93512,3.21478,2.14088,0.000768969,0.000768969,0.000768969
3,65.8799,1.33931,2.02155,1.60315,0.32232,0.19149,0.24299,0.1131,1.85377,3.0998,2.54824,0.00114662,0.00114662,0.00114662
4,84.4295,1.35779,1.97092,1.67532,0.48203,0.51064,0.40469,0.1936,1.61159,3.00771,2.37117,0.00151296,0.00151296,0.00151296
5,104.204,1.43076,1.95951,1.64096,0.19321,0.21277,0.09189,0.02413,2.96317,3.81096,3.32676,0.00186799,0.00186799,0.00186799
6,123.079,1.52131,2.08592,1.82424,0.33996,0.34043,0.21225,0.06905,1.98491,3.10494,2.83633,0.00185857,0.00185857,0.00185857
7,142.071,1.43088,1.96461,1.64137,0.17095,0.22384,0.1013,0.04579,2.21205,3.29276,2.98419,0.00183029,0.00183029,0.00183029
8,160.817,1.46639,1.81865,1.69437,0.24669,0.32756,0.20188,0.07457,2.13448,2.76079,2.77088,0.001802,0.001802,0.001802
9,177.38,1.40816,1.72768,1.66988,0.73043,0.46809,0.54808,0.28193,1.69039,2.33103,2.43645,0.00177371,0.00177371,0.00177371
10,197.28,1.31657,1.59618,1.59807,0.42015,0.34043,0.26391,0.09204,1.94086,2.98565,2.46785,0.00174543,0.00174543,0.00174543
11,212.222,1.38969,1.71304,1.70192,0.44719,0.34043,0.36685,0.13783,2.0178,2.63258,2.48625,0.00171714,0.00171714,0.00171714
12,234.634,1.39223,1.71419,1.71659,0.70912,0.46687,0.52429,0.29763,1.62315,2.12171,2.18224,0.00168886,0.00168886,0.00168886
13,255.243,1.29576,1.49955,1.65168,0.54694,0.53949,0.49982,0.24927,1.7019,1.96708,2.26655,0.00166057,0.00166057,0.00166057
14,272.62,1.40829,1.59909,1.6705,0.55403,0.40426,0.39222,0.22911,1.76806,2.54542,2.21575,0.00163229,0.00163229,0.00163229
15,291.429,1.36058,1.51068,1.61194,0.61936,0.41561,0.46193,0.26216,1.66528,2.44932,2.25211,0.001604,0.001604,0.001604
16,305.114,1.3356,1.50167,1.60524,0.86036,0.39351,0.46416,0.30818,1.64706,1.83527,2.15088,0.00157571,0.00157571,0.00157571
17,324.399,1.27441,1.49163,1.62675,0.51658,0.34106,0.38055,0.26149,1.60374,2.20848,2.08174,0.00154743,0.00154743,0.00154743
18,337.422,1.25373,1.36834,1.51853,0.80417,0.44681,0.54282,0.34782,1.54432,1.81761,2.18342,0.00151914,0.00151914,0.00151914
19,344.995,1.16367,1.24478,1.4886,0.55036,0.55319,0.55164,0.38421,1.26192,1.60066,1.81394,0.00149086,0.00149086,0.00149086
20,355.29,1.27842,1.31976,1.55488,0.76174,0.55319,0.61003,0.35621,1.54115,1.59635,2.08792,0.00146257,0.00146257,0.00146257
21,365.062,1.21109,1.30222,1.52471,0.81741,0.51064,0.59216,0.37615,1.44848,2.00589,2.03654,0.00143429,0.00143429,0.00143429
22,374.708,1.14623,1.22414,1.48443,0.91569,0.44681,0.54231,0.36471,1.43667,1.73643,1.88621,0.001406,0.001406,0.001406
23,392.7,1.20429,1.34263,1.60398,0.79277,0.57447,0.59337,0.42287,1.29409,1.33885,1.858,0.00137771,0.00137771,0.00137771
24,401.989,1.09496,1.17342,1.41565,0.70956,0.53191,0.56977,0.38256,1.35434,1.49652,1.86086,0.00134943,0.00134943,0.00134943
25,412.54,1.11934,1.21209,1.46852,0.60628,0.55705,0.57194,0.43361,1.25477,1.42232,1.70949,0.00132114,0.00132114,0.00132114
26,428.892,1.13743,1.2219,1.48252,0.85601,0.55319,0.58972,0.44411,1.26392,1.30091,1.7637,0.00129286,0.00129286,0.00129286
27,437.173,1.02401,1.05317,1.37694,0.83506,0.53873,0.60349,0.4174,1.2072,1.3272,1.71192,0.00126457,0.00126457,0.00126457
28,450.859,1.13297,1.19828,1.45528,0.94788,0.53191,0.59832,0.43759,1.18794,1.39616,1.62837,0.00123629,0.00123629,0.00123629
29,477.02,1.11029,1.17829,1.50921,0.91415,0.55319,0.61548,0.43056,1.3473,1.42067,1.75159,0.001208,0.001208,0.001208
30,486.377,1.0532,1.00526,1.38093,0.82319,0.61702,0.67444,0.44679,1.22092,1.25628,1.71575,0.00117971,0.00117971,0.00117971
31,501.524,1.07214,1.08531,1.47232,0.92775,0.54658,0.63705,0.41633,1.29325,1.4218,1.86676,0.00115143,0.00115143,0.00115143
32,506.951,1.00791,0.96253,1.33905,0.87627,0.59574,0.65339,0.44888,1.23664,1.21974,1.69476,0.00112314,0.00112314,0.00112314
33,518.422,1.03537,1.0047,1.34509,0.8997,0.61702,0.64646,0.4776,1.18822,1.15593,1.71476,0.00109486,0.00109486,0.00109486
34,528.326,1.04621,1.0264,1.4006,0.90371,0.61702,0.64351,0.47033,1.22596,1.24853,1.6385,0.00106657,0.00106657,0.00106657
35,541.973,1.00763,0.97794,1.3594,0.89036,0.55319,0.63851,0.46823,1.22066,1.21053,1.71367,0.00103829,0.00103829,0.00103829
36,557.346,1.0098,1.01618,1.41235,0.98537,0.53191,0.6679,0.46362,1.30143,1.21829,1.79838,0.00101,0.00101,0.00101
37,566.304,0.9994,0.97366,1.34368,0.8694,0.6383,0.69164,0.49739,1.1499,1.04054,1.74705,0.000981714,0.000981714,0.000981714
38,576.992,0.95177,0.94948,1.32731,0.87164,0.61702,0.66229,0.46783,1.23121,1.13449,1.7045,0.000953429,0.000953429,0.000953429
39,599.024,0.96432,0.95587,1.36887,0.95701,0.55319,0.64165,0.46921,1.17324,1.12194,1.63502,0.000925143,0.000925143,0.000925143
40,607.41,0.95762,0.91133,1.30322,0.90961,0.57447,0.64722,0.49418,1.12698,1.06188,1.63785,0.000896857,0.000896857,0.000896857
41,622.426,0.93588,0.92633,1.34078,0.83187,0.52649,0.59124,0.45427,1.13046,1.29451,1.53438,0.000868571,0.000868571,0.000868571
42,639.278,0.951,0.90687,1.37154,1,0.52786,0.61114,0.48226,1.05261,1.21588,1.52515,0.000840286,0.000840286,0.000840286
43,659.564,0.89236,0.8717,1.34906,0.93066,0.57119,0.63286,0.47147,1.05578,1.27406,1.48435,0.000812,0.000812,0.000812
44,669.607,0.97693,0.93483,1.30044,0.84147,0.53191,0.61988,0.44675,1.1725,1.36689,1.61391,0.000783714,0.000783714,0.000783714
45,687.852,0.91593,0.84503,1.30876,1,0.57006,0.64887,0.49548,1.05084,1.16272,1.4979,0.000755429,0.000755429,0.000755429
46,696.797,0.90328,0.86883,1.32132,0.83101,0.57447,0.64294,0.48871,1.07548,1.07838,1.55475,0.000727143,0.000727143,0.000727143
47,719.254,0.89174,0.88807,1.37905,0.89631,0.59574,0.64813,0.47196,1.18809,1.19286,1.65862,0.000698857,0.000698857,0.000698857
48,727.014,0.89984,0.86086,1.24583,0.87848,0.61531,0.64446,0.49323,1.09848,1.16827,1.54639,0.000670571,0.000670571,0.000670571
49,743.636,0.93627,0.87186,1.36044,1,0.59525,0.65847,0.48035,1.08009,1.08083,1.54056,0.000642286,0.000642286,0.000642286
50,751.54,0.86179,0.79951,1.25216,0.9655,0.5955,0.681,0.51366,1.02853,0.98,1.51038,0.000614,0.000614,0.000614
51,757.247,0.86534,0.81112,1.24839,0.96125,0.57447,0.64023,0.50537,0.99835,0.9433,1.52464,0.000585714,0.000585714,0.000585714
52,766.226,0.8527,0.80223,1.27555,0.93028,0.56797,0.62844,0.48259,1.08392,0.96131,1.60076,0.000557429,0.000557429,0.000557429
53,777.321,0.82598,0.79365,1.26508,0.86705,0.61702,0.63016,0.50018,1.09688,0.96988,1.61951,0.000529143,0.000529143,0.000529143
54,791.155,0.84608,0.79493,1.26287,0.90624,0.61694,0.63945,0.51019,1.07726,1.04278,1.61886,0.000500857,0.000500857,0.000500857
55,808.424,0.8368,0.76973,1.24914,0.85077,0.61702,0.64299,0.49512,1.07254,1.06596,1.57393,0.000472571,0.000472571,0.000472571
56,821.704,0.83379,0.79502,1.30324,0.90275,0.59264,0.65146,0.51844,1.0736,1.04629,1.56337,0.000444286,0.000444286,0.000444286
57,837.124,0.85509,0.80501,1.30747,0.87452,0.59322,0.64572,0.50571,1.10728,1.03544,1.65663,0.000416,0.000416,0.000416
58,844.036,0.8105,0.73747,1.2246,0.92007,0.57447,0.62177,0.48794,1.14704,1.08841,1.65206,0.000387714,0.000387714,0.000387714
59,860.74,0.85681,0.71744,1.22022,1,0.57091,0.61373,0.47241,1.11354,1.11121,1.60455,0.000359429,0.000359429,0.000359429
60,873.384,0.84325,0.78096,1.261,1,0.56891,0.61483,0.49117,1.0598,1.07492,1.53691,0.000331143,0.000331143,0.000331143
61,920.753,0.74102,0.73482,1.16499,0.96426,0.57406,0.6215,0.48042,1.08955,1.10785,1.57122,0.000302857,0.000302857,0.000302857
62,941.149,0.77813,0.73853,1.2131,1,0.55019,0.61781,0.49922,1.05851,1.08645,1.5279,0.000274571,0.000274571,0.000274571
63,952.088,0.74017,0.69769,1.24163,1,0.54743,0.62163,0.49801,1.05819,1.0736,1.49216,0.000246286,0.000246286,0.000246286
64,960.455,0.74124,0.69917,1.22827,0.9578,0.57447,0.62846,0.51545,1.04001,1.03555,1.48672,0.000218,0.000218,0.000218
65,972.756,0.72117,0.67032,1.13653,0.92602,0.57447,0.64128,0.53096,0.96725,0.99059,1.46696,0.000189714,0.000189714,0.000189714
66,995.737,0.69795,0.66571,1.18015,0.9227,0.57447,0.64269,0.52183,1.02554,1.02778,1.53055,0.000161429,0.000161429,0.000161429
67,1013.43,0.67953,0.68202,1.19971,0.95657,0.57447,0.63289,0.52643,1.05333,1.04394,1.54682,0.000133143,0.000133143,0.000133143
68,1021.95,0.64599,0.61812,1.14549,0.98952,0.57447,0.63223,0.51027,1.05907,1.05866,1.54206,0.000104857,0.000104857,0.000104857
69,1040.51,0.71283,0.67358,1.20414,0.98359,0.57447,0.63502,0.51987,1.06307,1.05978,1.55182,7.65714e-05,7.65714e-05,7.65714e-05
70,1049.34,0.67524,0.64,1.12637,0.98007,0.57447,0.6385,0.52087,1.03708,1.04035,1.54601,4.82857e-05,4.82857e-05,4.82857e-05
